Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7r6PigmGzlB3YPB7wvBBbi,"No Church In The Wild","Watch The Throne","JAY-Z;Kanye West;Frank Ocean;The-Dream",2011-08-08,272506,77,true,ocedinsmore,2026-01-31T20:26:38Z,"hip hop,east coast hip hop,rap,r&b","Roc Nation/RocAFella/IDJ",0.654,0.75,8,-7.509,0,0.105,0.244,0.0178,0.167,0.557,92.773,4
spotify:track:2wGSgTmgSF3xjRrHkTc25R,"Hate It Or Love It","The Documentary","The Game;50 Cent",2005,206400,84,true,ocedinsmore,2026-01-31T20:26:41Z,"west coast hip hop,old school hip hop,gangster rap,hip hop,east coast hip hop","Geffen",0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998,4
spotify:track:22VdIZQfgXJea34mQxlt81,"Can't Feel My Face","Beauty Behind The Madness","The Weeknd",2015-08-28,213520,84,false,ocedinsmore,2026-01-31T20:26:43Z,"","The Weeknd/Lyric",0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,4
spotify:track:2igwFfvr1OAGX9SKDCPBwO,"Empire State Of Mind","The Blueprint 3","JAY-Z;Alicia Keys",2009-09-08,276920,86,true,ocedinsmore,2026-01-31T20:26:51Z,"hip hop,east coast hip hop,rap,r&b,neo soul","Roc Nation / Jay-Z",0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,4
spotify:track:3LUWWox8YYykohBbHUrrxd,"We R Who We R","Cannibal (Expanded Edition)","Kesha",2010-11-19,204760,75,false,ocedinsmore,2026-01-31T20:27:22Z,"","RCA Records Label",0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,4
spotify:track:0am001WwFBVGDGLwRh3ixi,"Rather Be (feat. Jess Glynne)","New Eyes","Clean Bandit;Jess Glynne",2014-05-09,227833,70,false,ocedinsmore,2026-01-31T20:27:30Z,"","Big Beat Records/Atlantic",0.799,0.586,11,-6.735,1,0.0377,0.162,0.00000203,0.193,0.549,120.97,4
spotify:track:3YB6nCSuFqNiqOvPtAPK9X,"Be My Lover","Sweet Dreams","La Bouche",1995-03-11,241133,74,false,ocedinsmore,2026-01-31T20:27:36Z,"eurodance,europop","MCI",0.673,0.841,1,-10.171,0,0.0304,0.00307,0.0000126,0.952,0.809,134.804,4
spotify:track:12JS8jXv0pcLAke3nIyejB,"Missing - Todd Terry Club Mix","Missing (Remixes)","Everything But The Girl;Todd Terry",1994-08-08,296560,67,false,ocedinsmore,2026-01-31T20:27:51Z,"chicago house,hip house,house","Chrysalis Records",0.733,0.871,7,-8.397,1,0.0329,0.0182,0.0864,0.041,0.816,123.471,4
spotify:track:5WQQIDU3HRaMyPkob8mpFb,"Where Have You Been","Talk That Talk","Rihanna",2011-11-18,242680,84,false,ocedinsmore,2026-01-31T20:27:59Z,"","Def Jam Recordings",0.719,0.847,0,-6.34,0,0.0919,0.00201,0.0204,0.221,0.443,127.96,4
spotify:track:79mFFAOYcG8ZF6AN1JecAL,"FINE SHIT","MUSIC","Playboi Carti",2025-03-14,106753,66,true,ocedinsmore,2026-01-31T20:28:07Z,"rage rap","AWGE/Interscope Records",0.783,0.536,1,-6.841,1,0.0848,0.00345,0,0.113,0.226,154.062,4
spotify:track:68qeaZhtMZ6abrJCYt6nQn,"RATHER LIE (with The Weeknd)","MUSIC","Playboi Carti;The Weeknd",2025-03-14,209680,80,true,ocedinsmore,2026-01-31T20:28:12Z,"rage rap","AWGE/Interscope Records",0.72,0.665,8,-4.431,1,0.0325,0.0583,0,0.213,0.279,132.991,4
spotify:track:6i6cWTCYBOKEdJnWjzm2yk,"Hood Gone Love It (feat. Kendrick Lamar)","Follow Me Home","Jay Rock;Kendrick Lamar",2011-07-26,245466,70,true,ocedinsmore,2026-01-31T20:28:18Z,"hip hop,west coast hip hop","Top Dawg Entertainment",0.636,0.856,11,-3.974,1,0.312,0.0879,0,0.289,0.677,91.81,4
spotify:track:3VL3aSOA8O3b5iOVBkD9iD,"where's the confetti?","the color grey.","jev.",2022-12-20,200933,45,false,ocedinsmore,2026-01-31T20:28:28Z,"","LONER inc.",0.574,0.874,5,-4.922,0,0.174,0.0283,0,0.11,0.819,92.153,4
spotify:track:6YUTL4dYpB9xZO5qExPf05,"Summer","Motion","Calvin Harris",2014-10-31,222533,84,false,ocedinsmore,2026-01-31T20:28:41Z,"edm","Columbia",0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
spotify:track:5mqPg2dyqb1gBNyg9ycGcT,"Party And Bullshit","Whos The Man ? Soundtrack","The Notorious B.I.G.",1993-04-20,219706,71,true,ocedinsmore,2026-01-31T20:29:01Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Grimey Records",0.672,0.704,1,-10.066,0,0.312,0.173,0,0.139,0.811,99.232,4
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,"Superhero (Heroes & Villains) [with Future & Chris Brown]","HEROES & VILLAINS","Metro Boomin;Future;Chris Brown",2022-12-02,182666,79,true,ocedinsmore,2026-01-31T20:29:16Z,"rap,r&b","Republic Records",0.709,0.583,5,-5.298,0,0.204,0.138,0.00000297,0.195,0.533,116.624,4
